Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,oPace,oORtg,oFTr,o3PAr,oTS%,oTRB%,oAST%,oSTL%,oBLK%,oeFG%,oTOV%,oORB%,oFT/FGA
1,Abilene Christian,34,16,18,.471,-4.12,-1.12,,10,10,,8,6,,5,10,,2452,2500,,71.1,102.2,.398,.319,.547,52.3,47.3,9.3,7.8,.514,17.8,29.7,.273
2,Air Force,31,9,22,.290,-4.77,1.43,,2,16,,4,12,,5,8,,2051,2243,,63.4,113.2,.391,.367,.580,53.8,49.9,9.0,11.3,.542,15.3,31.5,.292
3,Akron NCAA,35,24,11,.686,2.77,-2.08,,13,5,,13,1,,7,6,,2577,2316,,66.9,98.5,.283,.372,.514,47.0,45.8,8.7,7.5,.486,15.2,25.2,.194
4,Alabama NCAA,37,25,12,.676,20.69,11.80,,13,5,,14,2,,5,5,,3335,3006,,73.9,109.2,.388,.371,.540,47.4,45.9,9.9,12.8,.496,13.1,31.0,.286
5,Alabama A&M,35,12,23,.343,-14.35,-7.52,,9,9,,7,5,,4,15,,2414,2653,,71.7,105.3,.452,.369,.543,50.2,54.1,13.1,8.1,.491,16.8,32.7,.338
6,Alabama State,32,13,19,.406,-11.73,-6.87,,8,10,,7,5,,3,13,,2195,2221,,69.7,98.1,.420,.415,.529,49.9,53.4,8.7,11.7,.482,18.2,28.1,.305
7,Albany (NY),32,13,19,.406,-6.60,-5.22,,5,11,,8,5,,5,13,,2517,2521,,74.6,105.2,.383,.296,.549,50.0,46.3,9.8,11.4,.510,15.3,29.0,.278
8,Alcorn State,32,14,18,.438,-11.58,-5.61,,13,5,,7,3,,7,14,,2300,2477,,68.3,112.9,.366,.455,.580,48.6,59.5,9.2,9.5,.548,15.0,30.3,.266
9,American,32,16,16,.500,-8.96,-8.79,,10,8,,8,7,,8,9,,2200,2176,,63.1,106.9,.298,.430,.559,48.4,51.9,7.9,8.2,.535,15.1,25.2,.206
10,Appalachian State,34,27,7,.794,6.04,-2.34,,16,2,,15,0,,8,5,,2665,2283,,69.3,94.8,.212,.329,.466,46.6,40.3,9.7,5.9,.440,12.7,27.4,.147
11,Arizona NCAA,36,27,9,.750,24.54,9.45,,15,5,,15,1,,7,4,,3137,2594,,73.3,96.6,.259,.379,.513,43.4,52.3,9.3,8.5,.484,16.0,23.3,.184
12,Arizona State,32,14,18,.438,4.58,9.55,,8,12,,10,5,,3,8,,2209,2368,,70.6,104.5,.312,.392,.546,55.0,57.6,8.2,7.2,.517,16.8,29.8,.221
13,Arkansas,33,16,17,.485,6.12,8.15,,6,12,,12,6,,2,7,,2566,2633,,72.2,108.9,.390,.341,.545,51.3,47.1,8.8,7.5,.504,13.1,29.9,.284
14,Arkansas State,37,20,17,.541,0.28,-1.53,,11,7,,10,3,,5,11,,2917,2850,,70.0,109.7,.348,.269,.547,47.9,40.5,9.9,12.0,.505,12.4,28.8,.265
15,Arkansas-Pine Bluff,31,13,18,.419,-15.56,-7.60,,8,10,,8,6,,5,12,,2483,2536,,74.3,110.1,.327,.382,.546,52.5,55.7,9.6,11.3,.513,13.5,31.5,.235
16,Army,32,10,22,.313,-14.67,-8.93,,6,12,,6,11,,4,11,,1930,2059,,63.1,100.8,.307,.397,.525,50.0,56.3,11.0,9.9,.493,15.1,25.4,.216
17,Auburn NCAA,35,27,8,.771,22.46,7.66,,13,5,,15,1,,5,5,,2909,2391,,70.9,96.4,.415,.334,.492,47.7,42.7,9.4,8.5,.437,15.6,30.2,.305
18,Austin Peay,35,19,16,.543,-6.13,-4.85,,10,6,,14,3,,4,12,,2619,2561,,65.9,109.1,.367,.362,.554,51.1,46.5,6.4,8.9,.521,14.8,30.8,.260
19,Ball State,31,15,16,.484,-6.68,-5.93,,7,11,,9,7,,6,8,,2280,2200,,67.8,103.4,.277,.353,.534,49.1,47.2,9.2,8.8,.506,15.2,27.4,.197
20,Baylor NCAA,35,24,11,.686,19.50,10.71,,11,7,,15,2,,4,5,,2814,2489,,66.8,104.2,.303,.356,.547,45.4,53.0,10.2,9.8,.515,15.4,27.1,.223
21,Bellarmine,31,8,23,.258,-11.79,-2.47,,4,12,,6,7,,2,16,,2153,2320,,66.8,111.1,.304,.441,.559,53.1,50.9,6.9,8.3,.528,13.2,28.2,.223
22,Belmont,33,20,13,.606,2.79,1.44,,12,8,,12,2,,6,9,,2570,2493,,72.0,104.5,.266,.400,.535,51.4,53.8,9.3,8.6,.507,14.6,27.4,.192
23,Bethune-Cookman,34,17,17,.500,-11.87,-8.87,,11,7,,11,2,,5,11,,2479,2467,,71.8,100.0,.474,.358,.539,51.6,58.3,11.5,7.4,.491,19.7,32.5,.337
24,Binghamton,30,15,15,.500,-9.29,-5.21,,7,9,,10,4,,5,11,,2163,2167,,68.6,104.5,.327,.386,.524,46.4,43.4,9.8,11.0,.486,12.0,24.6,.238
25,Boise State NCAA,33,22,11,.667,13.31,7.35,,13,5,,13,3,,7,3,,2479,2221,,66.9,99.8,.319,.369,.530,44.4,48.5,8.5,10.7,.495,15.3,22.2,.232
26,Boston College,36,20,16,.556,9.48,7.25,,8,12,,10,6,,7,7,,2667,2587,,67.7,105.5,.281,.378,.538,49.3,51.1,9.2,9.3,.505,13.8,26.3,.210
27,Boston University,33,16,17,.485,-9.93,-8.49,,10,8,,9,7,,7,10,,2193,2198,,65.9,100.0,.355,.404,.529,48.5,50.3,9.8,8.9,.496,15.3,22.8,.244
28,Bowling Green State,34,20,14,.588,-4.93,-5.52,,10,8,,12,5,,5,7,,2502,2414,,69.1,100.9,.263,.345,.529,47.8,46.8,8.9,9.5,.506,15.1,24.9,.179
29,Bradley,35,23,12,.657,9.48,2.96,,13,7,,14,3,,6,7,,2592,2348,,66.9,99.2,.352,.383,.515,48.8,49.5,9.9,6.2,.474,16.1,27.8,.253
30,Brigham Young NCAA,34,23,11,.676,19.33,7.86,,10,8,,16,2,,3,7,,2768,2378,,69.9,100.0,.320,.340,.515,45.8,47.3,8.7,7.5,.482,14.2,24.6,.224
31,Brown,31,13,18,.419,-3.60,-1.73,,8,6,,5,7,,6,8,,2212,2227,,67.8,104.3,.319,.382,.538,48.2,51.3,9.8,9.3,.509,15.1,26.9,.222
32,Bryant,33,20,13,.606,-3.06,-3.54,,11,5,,11,3,,8,10,,2598,2488,,76.0,98.5,.324,.351,.489,52.9,46.3,9.6,8.4,.451,14.1,30.1,.226
33,Bucknell,33,14,19,.424,-8.33,-6.39,,10,8,,6,8,,8,11,,2153,2217,,64.1,103.6,.315,.422,.527,50.9,60.2,9.8,10.7,.495,14.4,28.6,.221
34,Buffalo,31,4,27,.129,-15.12,-2.82,,2,16,,2,13,,2,11,,2108,2471,,70.5,112.6,.287,.357,.564,51.3,53.5,10.8,8.4,.539,13.1,30.2,.205
35,Butler,33,18,15,.545,12.18,9.49,,9,11,,12,6,,4,7,,2544,2432,,69.4,103.8,.219,.371,.526,50.5,48.6,10.2,10.8,.500,14.1,29.1,.162
36,Cal Poly,32,4,28,.125,-13.64,-2.28,,0,20,,3,11,,0,16,,2037,2371,,66.7,109.7,.418,.305,.556,55.2,46.8,9.6,8.6,.513,15.1,33.4,.307
37,Cal State Bakersfield,32,13,19,.406,-5.37,-2.17,,8,12,,10,4,,2,13,,2199,2214,,66.3,103.1,.464,.365,.542,49.1,51.4,8.6,7.6,.493,17.1,30.9,.336
38,Cal State Fullerton,32,14,18,.438,-5.15,-1.15,,7,13,,7,7,,6,10,,2172,2212,,67.5,102.1,.349,.384,.530,52.0,51.0,9.2,7.8,.493,16.2,29.2,.250
39,Cal State Northridge,34,19,15,.559,-4.78,-4.13,,9,11,,9,7,,9,7,,2551,2503,,73.5,99.8,.375,.446,.521,46.6,58.7,10.8,7.7,.477,15.9,26.3,.274
40,California,32,13,19,.406,4.94,8.00,,9,11,,10,6,,3,8,,2367,2465,,69.7,108.0,.331,.362,.546,49.5,47.0,8.3,9.9,.513,13.0,26.7,.240
41,California Baptist,33,16,17,.485,-2.32,-2.26,,8,12,,11,7,,4,9,,2222,2197,,65.7,100.6,.295,.273,.519,46.4,46.1,8.9,9.8,.486,13.7,24.0,.212
42,Campbell,32,14,18,.438,-10.62,-5.66,,8,10,,11,6,,3,11,,2272,2307,,67.0,106.4,.242,.428,.537,51.7,51.7,9.7,9.7,.512,15.0,30.5,.173
43,Canisius,32,14,18,.438,-7.95,-4.89,,8,12,,8,4,,3,12,,2252,2307,,68.5,104.4,.277,.314,.533,47.8,51.0,9.8,7.5,.505,14.3,28.7,.196
44,Central Arkansas,32,9,23,.281,-15.70,-5.64,,5,11,,5,10,,4,13,,2309,2502,,70.7,110.1,.330,.420,.559,50.6,48.1,10.7,8.2,.528,14.1,29.8,.239
45,Central Connecticut State,31,20,11,.645,-8.15,-10.15,,13,3,,11,4,,9,7,,2237,2061,,68.0,97.0,.262,.350,.507,48.6,55.0,9.8,8.5,.482,16.3,27.1,.176
46,Central Michigan,32,18,14,.563,-8.07,-3.59,,12,6,,10,3,,7,9,,2127,2242,,66.3,102.8,.304,.407,.511,50.9,53.1,8.5,8.9,.473,14.1,30.8,.224
47,Charleston Southern,30,10,20,.333,-12.03,-1.59,,6,10,,7,7,,3,12,,2028,2210,,68.3,107.9,.328,.314,.533,50.4,43.4,9.1,7.5,.499,12.1,28.6,.232
48,Charlotte,31,19,12,.613,4.09,2.42,,13,5,,13,2,,5,7,,2131,2034,,63.1,103.2,.309,.366,.517,50.3,46.1,9.0,8.1,.484,13.7,29.0,.218
49,Chattanooga,33,21,12,.636,-0.21,-3.85,,12,6,,12,4,,8,7,,2581,2362,,68.5,103.3,.268,.422,.514,48.4,48.1,9.4,9.4,.489,13.0,28.4,.180
50,Chicago State,32,13,19,.406,-9.34,-3.03,,,,,6,5,,5,12,,2224,2258,,67.6,103.9,.336,.345,.544,50.8,49.6,10.3,7.9,.518,18.2,34.6,.226
51,Cincinnati,37,22,15,.595,15.06,8.49,,7,11,,16,5,,4,8,,2765,2522,,68.4,98.4,.291,.348,.516,44.9,53.3,9.6,9.1,.477,15.4,25.3,.219
52,Clemson NCAA,36,24,12,.667,16.20,10.04,,11,9,,12,4,,6,6,,2785,2563,,67.8,104.3,.321,.411,.520,48.4,44.7,8.9,7.1,.482,12.1,26.6,.235
53,Cleveland State,36,21,15,.583,-3.47,-4.44,,11,9,,14,3,,6,10,,2717,2622,,68.6,105.4,.367,.383,.545,51.0,50.5,7.8,7.2,.511,17.1,34.3,.259
54,Coastal Carolina,31,9,22,.290,-10.47,-2.88,,5,13,,7,12,,1,9,,2280,2434,,71.5,108.9,.296,.459,.524,48.4,55.8,11.8,8.6,.496,11.2,29.9,.203
55,Colgate NCAA,35,25,10,.714,-0.31,-5.55,,16,2,,13,3,,10,5,,2498,2242,,66.4,96.5,.240,.402,.498,48.1,53.2,8.5,7.0,.475,14.9,24.5,.161
56,College of Charleston NCAA,35,27,8,.771,4.09,-2.38,,15,3,,13,2,,10,2,,2832,2575,,70.4,104.2,.288,.371,.536,46.9,43.3,8.7,9.5,.508,14.4,25.9,.203
57,Colorado NCAA,37,26,11,.703,15.95,8.36,,13,7,,16,1,,4,7,,2935,2654,,69.0,102.9,.273,.352,.526,45.0,43.7,10.5,9.2,.497,13.4,24.8,.194
58,Colorado State NCAA,36,25,11,.694,13.40,7.28,,10,8,,15,2,,4,7,,2707,2422,,66.7,100.2,.314,.337,.519,49.5,47.1,8.1,8.0,.480,15.1,26.6,.233
59,Columbia,27,13,14,.481,-5.43,-3.72,,4,10,,9,6,,4,8,,2078,1956,,70.0,103.6,.269,.430,.537,48.3,57.0,9.0,11.0,.509,15.6,27.8,.193
60,Connecticut NCAA,40,37,3,.925,26.70,8.70,,18,2,,16,0,,9,3,,3256,2536,,66.0,96.0,.311,.329,.485,43.7,44.7,8.1,8.3,.444,13.9,26.7,.226
61,Coppin State,29,2,27,.069,-21.46,-6.49,,1,13,,2,8,,0,17,,1678,2112,,67.4,107.2,.383,.376,.554,56.5,58.6,13.1,9.5,.513,18.4,38.6,.283
62,Cornell,30,22,8,.733,3.58,-1.59,,11,3,,10,1,,10,6,,2463,2241,,71.9,103.9,.320,.416,.532,50.1,53.3,9.3,9.4,.510,16.0,30.9,.206
63,Creighton NCAA,35,25,10,.714,20.07,9.53,,14,6,,14,2,,8,5,,2815,2446,,67.6,100.9,.160,.279,.489,46.9,41.3,8.7,9.1,.463,9.6,24.9,.126
64,Dartmouth,27,6,21,.222,-13.99,-1.31,,2,12,,6,7,,0,14,,1670,1940,,66.3,108.4,.230,.425,.552,51.1,53.0,11.6,9.3,.531,12.5,24.0,.162
65,Davidson,32,15,17,.469,3.63,3.30,,5,13,,9,7,,4,8,,2242,2174,,65.9,101.5,.323,.420,.524,50.4,53.2,9.3,9.8,.493,15.3,27.5,.222
66,Dayton NCAA,33,25,8,.758,13.45,5.73,,14,4,,15,0,,6,5,,2448,2193,,64.8,102.2,.219,.401,.510,49.4,51.1,9.1,10.3,.483,13.7,28.6,.160
67,Delaware,33,19,14,.576,-1.68,-4.30,,10,8,,8,5,,8,6,,2416,2299,,67.7,102.5,.269,.363,.512,49.1,46.0,9.4,10.1,.482,12.9,27.9,.190
68,Delaware State,34,15,19,.441,-10.51,-7.58,,6,8,,7,5,,4,11,,2401,2415,,70.2,99.3,.346,.399,.542,48.4,52.9,10.2,6.5,.507,19.2,30.1,.249
69,Denver,34,17,17,.500,-7.39,-4.82,,6,10,,10,4,,4,11,,2755,2737,,71.1,111.2,.308,.351,.560,50.8,44.2,6.9,10.5,.528,12.9,28.7,.228
70,DePaul,32,3,29,.094,-6.23,10.80,,0,20,,3,15,,0,11,,2071,2616,,68.4,119.6,.284,.411,.592,55.1,58.2,11.2,10.2,.565,12.6,32.3,.212
71,Detroit Mercy,32,1,31,.031,-16.90,-2.62,,1,19,,1,11,,0,20,,2111,2568,,68.0,117.0,.319,.372,.594,55.4,52.3,9.0,8.6,.559,14.9,35.4,.249
72,Drake NCAA,35,28,7,.800,11.08,1.84,,16,4,,16,0,,6,5,,2797,2463,,68.4,100.3,.309,.388,.537,48.8,41.8,7.8,7.4,.507,15.8,22.9,.218
73,Drexel,32,20,12,.625,1.14,-3.64,,13,5,,13,1,,6,10,,2346,2130,,65.7,100.2,.267,.353,.504,44.4,43.9,8.2,7.8,.474,12.0,24.1,.188
74,Duke NCAA,36,27,9,.750,20.67,8.36,,15,5,,15,3,,7,4,,2830,2387,,67.1,98.8,.281,.347,.512,46.3,50.9,7.9,12.0,.485,14.9,25.9,.191
75,Duquesne NCAA,37,25,12,.676,7.35,4.68,,10,8,,13,4,,5,6,,2611,2467,,66.9,99.7,.346,.377,.520,49.6,53.2,9.5,10.9,.483,17.0,29.9,.245
76,East Carolina,33,15,18,.455,-0.62,1.32,,7,11,,11,9,,3,7,,2287,2319,,65.8,106.0,.320,.429,.549,49.7,53.2,9.2,9.4,.512,16.4,30.8,.240
77,East Tennessee State,35,19,16,.543,-3.11,-2.74,,8,10,,10,4,,5,11,,2502,2435,,68.8,100.7,.364,.382,.529,48.2,47.3,9.8,9.2,.495,16.9,29.2,.251
78,East Texas A&M,33,13,20,.394,-14.52,-5.19,,6,12,,8,7,,4,12,,2361,2462,,68.7,105.1,.384,.305,.546,54.4,49.8,8.0,10.7,.510,16.6,32.2,.272
79,Eastern Illinois,32,14,18,.438,-11.60,-6.50,,8,10,,9,6,,4,11,,2204,2172,,68.2,99.5,.352,.370,.541,50.1,56.0,7.7,9.9,.505,18.4,26.3,.252
80,Eastern Kentucky,31,17,14,.548,-5.42,-4.49,,12,4,,13,4,,4,10,,2504,2371,,71.8,106.0,.288,.341,.526,47.7,48.5,9.9,6.1,.491,13.4,30.8,.214
81,Eastern Michigan,31,13,18,.419,-12.76,-5.07,,6,12,,9,6,,4,11,,2047,2252,,66.4,108.2,.308,.391,.540,51.4,50.5,10.0,7.9,.513,13.7,30.8,.213
82,Eastern Washington,32,21,11,.656,-1.03,-2.99,,15,3,,11,1,,10,9,,2586,2407,,70.9,105.7,.320,.408,.546,48.2,52.0,9.5,7.6,.511,14.8,26.9,.237
83,Elon,32,13,19,.406,-11.43,-5.46,,6,12,,8,6,,3,12,,2339,2413,,68.0,110.9,.282,.407,.553,51.0,54.8,9.0,9.5,.526,14.0,32.4,.201
84,Evansville,35,17,18,.486,-3.69,0.75,,6,14,,10,5,,4,11,,2481,2562,,69.6,104.4,.277,.433,.546,51.4,54.4,9.2,7.7,.516,15.3,25.9,.204
85,Fairfield,37,24,13,.649,-3.17,-6.53,,14,6,,10,4,,10,6,,2794,2626,,68.9,103.0,.255,.367,.543,51.2,50.4,8.2,8.5,.520,17.6,30.1,.178
86,FDU,32,15,17,.469,-14.41,-9.27,,9,7,,7,7,,8,9,,2430,2482,,73.6,104.6,.318,.397,.548,51.7,54.6,9.8,8.8,.520,17.0,30.4,.221
87,Florida NCAA,36,24,12,.667,15.17,8.81,,11,7,,14,1,,3,7,,3080,2851,,73.1,106.5,.348,.324,.529,45.9,42.4,10.1,9.4,.493,12.6,28.8,.248
88,Florida A&M,29,6,23,.207,-15.82,-4.19,,4,14,,4,8,,2,14,,1949,2240,,69.9,108.6,.395,.361,.544,51.4,48.6,11.7,9.3,.514,14.0,31.4,.266
89,Florida Atlantic NCAA,34,25,9,.735,13.26,4.61,,14,4,,13,1,,5,5,,2789,2495,,69.1,103.9,.273,.361,.527,47.2,39.0,8.5,6.6,.496,14.3,29.2,.198
90,Florida Gulf Coast,32,14,18,.438,-6.28,-3.94,,8,8,,9,5,,4,10,,2253,2276,,65.6,108.0,.278,.429,.545,48.7,51.9,9.6,7.3,.520,13.7,28.2,.194
91,Florida International,33,11,22,.333,-8.01,-2.17,,5,11,,9,6,,1,12,,2429,2525,,72.1,105.8,.363,.360,.574,55.1,54.9,9.8,9.9,.546,20.6,35.9,.254
92,Florida State,33,17,16,.515,9.52,9.27,,10,10,,10,7,,4,7,,2526,2518,,72.2,105.3,.410,.382,.557,52.5,48.4,7.8,7.2,.522,17.9,32.8,.288
93,Fordham,33,13,20,.394,-0.46,1.48,,6,12,,6,11,,4,6,,2325,2389,,69.3,102.5,.451,.310,.548,49.3,50.2,9.7,11.0,.504,17.4,27.4,.323
94,Fresno State,33,12,21,.364,-3.29,3.50,,4,14,,7,9,,3,9,,2233,2439,,66.0,110.3,.275,.370,.553,52.5,49.9,9.1,11.5,.530,13.6,30.5,.189
95,Furman,33,17,16,.515,0.21,-1.93,,10,8,,12,3,,4,10,,2623,2506,,71.2,105.0,.276,.348,.544,48.7,49.5,9.6,11.1,.521,14.7,26.4,.188
96,Gardner-Webb,33,17,16,.515,-4.66,-1.73,,11,5,,9,4,,6,8,,2426,2414,,70.2,103.0,.375,.346,.530,48.8,46.5,8.4,9.2,.491,14.2,25.9,.266
97,George Mason,32,20,12,.625,6.36,1.85,,9,9,,14,3,,5,7,,2273,2109,,65.0,101.3,.312,.420,.513,46.7,51.6,10.4,10.6,.477,14.3,27.5,.224
98,George Washington,32,15,17,.469,-1.03,-0.06,,4,14,,12,6,,1,9,,2457,2472,,70.4,106.8,.222,.381,.525,50.5,49.2,9.4,10.3,.497,12.1,29.1,.167
99,Georgetown,32,9,23,.281,0.68,7.72,,2,18,,7,12,,2,10,,2267,2492,,67.4,114.6,.336,.382,.584,49.9,55.5,11.0,11.4,.557,14.3,30.7,.240
100,Georgia,37,20,17,.541,8.63,8.63,,6,12,,13,6,,6,6,,2764,2764,,70.6,105.4,.293,.372,.530,51.6,54.2,9.1,12.0,.498,14.0,30.5,.212
101,Georgia Southern,33,9,24,.273,-8.44,-2.53,,8,10,,6,6,,2,14,,2420,2615,,70.1,111.8,.430,.364,.558,52.7,49.5,10.5,12.4,.520,14.6,33.8,.303
102,Georgia State,31,14,17,.452,-4.59,-2.59,,8,10,,9,5,,5,11,,2370,2319,,70.6,105.1,.343,.383,.521,50.7,49.5,7.9,10.1,.484,12.8,29.5,.244
103,Georgia Tech,32,14,18,.438,4.60,8.82,,7,13,,8,7,,4,9,,2272,2407,,68.2,108.6,.316,.394,.530,48.2,50.9,10.0,9.0,.492,11.1,28.5,.233
104,Gonzaga NCAA,35,27,8,.771,17.93,4.02,,14,2,,13,2,,8,2,,2959,2420,,69.8,99.1,.249,.367,.499,45.0,49.2,7.8,6.0,.468,13.9,27.5,.179
105,Grambling NCAA,36,21,15,.583,-9.63,-5.48,,14,4,,9,3,,7,9,,2436,2506,,66.9,102.9,.325,.344,.532,51.0,55.6,10.4,7.5,.496,16.4,32.3,.236
106,Grand Canyon NCAA,35,30,5,.857,10.45,-0.52,,17,3,,16,0,,8,3,,2769,2346,,69.8,95.6,.333,.340,.497,46.9,48.2,8.7,7.3,.458,17.1,30.1,.235
107,Green Bay,32,18,14,.563,-5.64,-4.07,,13,7,,10,5,,8,8,,2209,2207,,64.6,105.9,.345,.354,.527,49.6,51.0,9.6,14.0,.487,12.4,28.2,.252
108,Hampton,33,9,24,.273,-15.82,-5.29,,3,15,,5,9,,1,12,,2369,2520,,70.8,107.9,.294,.397,.536,50.2,48.9,10.1,7.2,.500,13.2,30.4,.221
109,Harvard,27,14,13,.519,-4.58,-2.08,,5,9,,9,5,,5,8,,1900,1937,,67.8,104.9,.248,.410,.520,51.4,52.8,9.9,11.0,.495,13.8,31.2,.172
110,Hawaii,34,20,14,.588,-0.07,-2.57,,11,9,,13,6,,4,6,,2458,2337,,67.4,100.8,.330,.256,.522,48.5,36.9,9.1,7.7,.484,14.2,24.8,.239
111,High Point,36,27,9,.750,2.15,-4.83,,13,3,,16,2,,7,5,,3020,2680,,69.3,106.0,.360,.316,.534,44.1,44.6,7.0,7.8,.495,12.6,26.0,.261
112,Hofstra,33,20,13,.606,2.31,-1.98,,12,6,,11,2,,5,10,,2449,2259,,66.6,102.4,.286,.419,.524,51.8,53.9,8.3,8.1,.486,15.5,29.3,.217
113,Holy Cross,33,10,23,.303,-17.12,-7.87,,6,12,,5,8,,4,14,,2194,2462,,65.4,113.6,.299,.394,.561,52.0,52.8,10.0,9.0,.532,11.2,27.8,.216
114,Houston NCAA,37,32,5,.865,25.69,9.80,,15,3,,17,0,,7,3,,2720,2132,,64.1,89.0,.394,.401,.482,47.7,59.8,7.8,7.2,.440,20.9,31.2,.266
115,Houston Christian,29,6,23,.207,-19.37,-3.89,,4,14,,5,8,,1,15,,2074,2420,,73.4,113.2,.278,.338,.558,50.8,51.9,12.4,11.0,.532,12.2,32.1,.201
116,Howard NCAA,35,18,17,.514,-8.69,-8.02,,9,5,,9,4,,6,9,,2623,2600,,69.4,105.6,.386,.328,.540,47.2,47.2,10.8,10.6,.504,15.1,30.2,.269
117,Idaho,32,11,21,.344,-11.29,-4.69,,5,13,,6,10,,4,10,,2170,2278,,65.9,107.7,.366,.385,.559,51.8,53.5,9.8,10.6,.522,14.8,27.3,.267
118,Idaho State,34,14,20,.412,-7.49,-5.11,,7,11,,8,5,,4,13,,2397,2383,,64.9,106.1,.308,.310,.566,48.5,46.7,9.5,6.5,.534,16.5,25.5,.230
119,Illinois NCAA,38,29,9,.763,19.56,9.54,,14,6,,15,3,,6,5,,3168,2787,,70.1,104.0,.267,.283,.511,44.8,44.1,8.1,8.4,.480,10.8,26.3,.193
120,Illinois State,32,15,17,.469,-1.38,0.43,,9,11,,10,6,,4,8,,2128,2165,,65.3,103.7,.271,.393,.537,48.9,51.5,8.0,9.3,.506,14.6,25.7,.199
