Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,oPace,oORtg,oFTr,o3PAr,oTS%,oTRB%,oAST%,oSTL%,oBLK%,oeFG%,oTOV%,oORB%,oFT/FGA
121,Illinois-Chicago,33,12,21,.364,-1.61,1.30,,4,16,,6,9,,3,10,,2319,2361,,68.7,102.3,.356,.348,.526,52.3,52.2,9.5,10.5,.481,15.2,28.2,.267
122,Incarnate Word,31,8,23,.258,-16.40,-7.92,,3,15,,5,8,,3,14,,2240,2436,,71.9,108.4,.396,.342,.548,49.3,52.8,11.6,11.1,.510,13.5,29.5,.281
123,Indiana,33,19,14,.576,7.74,9.74,,10,10,,13,5,,4,6,,2386,2452,,69.4,107.1,.316,.412,.529,50.0,52.9,10.8,7.6,.490,12.8,29.7,.237
124,Indiana State,39,32,7,.821,13.44,2.26,,17,3,,16,1,,9,4,,3309,2854,,71.4,102.1,.259,.340,.528,47.4,40.2,8.6,11.4,.497,13.9,23.4,.192
125,Iona,33,16,17,.485,-5.19,-5.95,,10,10,,9,5,,5,8,,2354,2329,,68.0,103.8,.375,.400,.566,53.1,56.5,8.2,10.4,.528,19.6,31.0,.277
126,Iowa,34,19,15,.559,13.00,9.26,,10,10,,13,4,,4,9,,2827,2700,,72.6,108.9,.329,.360,.552,51.1,54.0,8.1,8.4,.523,14.3,30.3,.232
127,Iowa State NCAA,37,29,8,.784,22.30,8.51,,13,5,,18,0,,5,5,,2787,2277,,67.9,90.6,.348,.452,.512,49.5,58.7,8.9,8.8,.474,22.2,29.3,.246
128,IU Indy,32,6,26,.188,-21.31,-4.62,,2,18,,4,10,,2,14,,2108,2554,,68.8,115.5,.334,.375,.603,53.0,55.3,10.6,7.7,.578,16.9,34.9,.242
129,Jackson State,32,15,17,.469,-11.50,-7.15,,11,7,,6,2,,7,13,,2279,2418,,70.0,107.6,.345,.396,.558,49.3,54.9,10.4,9.6,.526,16.5,32.0,.247
130,Jacksonville,33,16,17,.485,-9.84,-4.87,,5,11,,11,3,,4,14,,2371,2389,,68.6,105.2,.390,.398,.544,46.7,50.7,10.3,8.8,.506,16.0,29.6,.276
131,Jacksonville State,32,14,18,.438,-3.55,-3.14,,6,10,,8,7,,5,10,,2240,2126,,67.1,98.7,.339,.357,.528,45.5,46.3,10.5,7.8,.494,16.6,24.5,.238
132,James Madison NCAA,36,32,4,.889,8.19,-3.75,,15,3,,14,1,,12,2,,2995,2506,,71.6,96.2,.341,.357,.510,46.8,43.8,8.2,8.8,.469,17.4,26.9,.249
133,Kansas NCAA,34,23,11,.676,16.35,11.32,,10,8,,15,1,,3,7,,2569,2376,,69.9,99.6,.282,.413,.510,48.3,52.0,9.7,6.8,.480,14.5,26.3,.196
134,Kansas City,32,16,16,.500,-5.32,-4.50,,10,6,,10,3,,6,9,,2300,2217,,67.3,101.4,.430,.374,.540,47.1,49.6,8.6,7.6,.497,16.5,25.8,.306
135,Kansas State,34,19,15,.559,11.06,9.97,,8,10,,15,3,,2,9,,2454,2417,,68.4,101.3,.331,.367,.505,48.1,53.0,11.9,10.7,.468,13.8,30.5,.233
136,Kennesaw State,31,15,16,.484,-8.02,-5.84,,6,10,,9,5,,4,11,,2568,2504,,75.4,106.3,.408,.387,.547,49.9,47.7,9.2,12.0,.507,15.5,29.5,.294
137,Kent State,34,17,17,.500,-0.76,-2.54,,8,10,,9,6,,4,9,,2544,2424,,67.7,103.4,.345,.398,.548,49.0,50.6,9.2,8.6,.512,16.9,28.7,.251
138,Kentucky NCAA,33,23,10,.697,16.79,7.46,,13,5,,14,4,,7,3,,2938,2630,,73.9,106.7,.334,.402,.531,49.5,52.2,8.6,8.7,.496,13.6,30.5,.239
139,La Salle,33,16,17,.485,-1.62,0.85,,6,12,,11,6,,3,10,,2398,2411,,67.3,106.9,.327,.326,.537,52.0,51.2,7.3,9.6,.503,13.7,30.3,.235
140,Lafayette,32,11,21,.344,-11.17,-6.01,,10,8,,5,10,,6,9,,2010,2154,,65.3,101.5,.310,.384,.521,52.7,51.5,9.5,9.0,.483,15.4,29.2,.229
141,Lamar,33,19,14,.576,-5.47,-8.28,,12,6,,11,3,,5,11,,2568,2406,,70.5,101.8,.394,.400,.528,48.0,58.5,10.2,7.7,.488,16.9,30.9,.278
142,Le Moyne,32,15,17,.469,-11.07,-9.55,,9,7,,10,3,,5,14,,2318,2245,,69.2,101.0,.257,.433,.522,52.8,56.6,9.0,7.6,.495,16.5,30.1,.183
143,Lehigh,32,14,18,.438,-7.47,-6.60,,9,9,,6,7,,8,11,,2326,2272,,69.9,99.3,.288,.370,.532,50.3,46.9,9.1,9.8,.504,16.1,23.1,.200
144,Liberty,32,18,14,.563,1.58,-1.56,,7,9,,12,3,,2,8,,2362,2096,,66.0,98.5,.286,.323,.522,48.9,40.3,8.8,11.8,.489,15.6,23.8,.207
145,Lindenwood,31,9,22,.290,-18.73,-7.23,,3,15,,4,10,,3,12,,2019,2266,,68.1,106.9,.378,.383,.568,53.2,51.2,9.1,9.8,.533,16.3,28.3,.274
146,Lipscomb,32,20,12,.625,-1.94,-5.04,,11,5,,12,2,,6,9,,2626,2448,,71.2,107.5,.228,.374,.548,51.2,41.8,7.2,9.8,.526,14.2,28.3,.163
147,Little Rock,34,21,13,.618,-3.42,-8.24,,14,4,,14,4,,6,6,,2628,2464,,69.9,103.0,.353,.384,.524,48.4,48.8,8.0,7.2,.481,15.3,30.1,.262
148,Long Beach State NCAA,36,21,15,.583,-1.19,-1.19,,10,10,,8,5,,9,7,,2786,2735,,72.9,103.5,.312,.439,.540,48.0,59.0,9.7,6.1,.507,16.2,29.1,.226
149,Long Island University,29,7,22,.241,-17.86,-7.58,,6,10,,5,5,,1,17,,1929,2227,,71.3,106.8,.410,.343,.544,52.0,54.9,12.0,10.2,.508,13.9,28.7,.284
150,Longwood NCAA,35,21,14,.600,-2.04,-4.76,,6,10,,13,3,,6,10,,2615,2396,,67.9,99.4,.351,.400,.540,43.7,49.7,9.3,7.0,.509,17.7,24.5,.241
151,Louisiana,33,19,14,.576,-0.60,-2.67,,10,8,,11,3,,5,9,,2504,2365,,70.4,101.8,.399,.318,.536,50.8,43.9,9.9,9.9,.493,18.1,32.3,.288
152,Louisiana State,33,17,16,.515,8.14,6.75,,9,9,,12,6,,3,7,,2520,2474,,70.7,105.6,.337,.414,.538,49.6,48.7,11.6,11.2,.497,15.6,31.4,.254
153,Louisiana Tech,32,22,10,.688,4.83,-1.69,,12,4,,14,2,,8,7,,2392,2065,,67.5,94.9,.316,.364,.490,45.8,45.5,10.2,8.1,.451,16.2,27.9,.224
154,Louisiana-Monroe,30,11,19,.367,-10.05,-2.44,,6,12,,8,6,,3,12,,2096,2233,,69.1,107.3,.368,.452,.553,48.0,58.8,10.0,8.8,.514,15.4,29.3,.271
155,Louisville,32,8,24,.250,0.45,7.51,,3,17,,7,11,,1,10,,2304,2530,,70.4,111.8,.338,.392,.577,50.2,55.3,10.7,9.7,.546,14.3,27.5,.247
156,Loyola (IL),33,23,10,.697,6.57,2.42,,15,3,,15,2,,7,5,,2412,2228,,69.3,96.7,.370,.360,.510,47.7,49.5,9.6,12.2,.463,15.9,24.8,.272
157,Loyola (MD),32,7,25,.219,-16.17,-6.94,,5,13,,2,11,,5,13,,2049,2301,,65.7,108.2,.323,.369,.559,48.9,51.9,11.0,10.9,.532,13.8,25.8,.226
158,Loyola Marymount,31,12,19,.387,-0.06,0.31,,5,11,,8,8,,3,7,,2244,2214,,66.4,107.6,.293,.318,.535,48.3,51.2,8.7,10.2,.502,11.3,26.7,.214
159,Maine,32,15,17,.469,-6.39,-4.87,,7,9,,8,4,,5,13,,2164,2159,,68.1,98.3,.321,.328,.522,52.0,52.1,9.2,9.0,.492,17.0,27.3,.220
160,Manhattan,30,7,23,.233,-15.28,-4.86,,4,16,,3,10,,4,12,,1985,2275,,69.2,108.2,.264,.338,.553,53.5,60.1,11.6,11.1,.526,14.8,30.5,.194
161,Marist,31,18,13,.581,-5.64,-8.09,,12,8,,9,4,,8,8,,2004,1928,,65.5,94.9,.350,.383,.506,50.8,43.9,10.3,7.6,.471,18.0,26.8,.238
162,Marquette NCAA,37,27,10,.730,19.27,11.02,,14,6,,14,2,,7,5,,2888,2583,,69.4,100.2,.269,.428,.531,52.2,59.4,8.2,8.6,.498,18.3,30.8,.201
163,Marshall,33,13,20,.394,-5.42,-1.39,,7,11,,8,7,,3,9,,2435,2531,,72.5,105.7,.295,.349,.539,49.7,48.2,10.3,7.0,.510,14.3,28.0,.208
164,Maryland,33,16,17,.485,10.60,7.44,,7,13,,11,6,,4,8,,2278,2174,,66.3,98.3,.335,.301,.514,49.3,48.0,8.7,10.3,.467,16.4,29.1,.256
165,Maryland-Baltimore County,32,11,21,.344,-8.67,-5.93,,6,10,,6,9,,5,12,,2517,2583,,74.7,107.6,.286,.361,.534,51.7,45.5,10.8,7.3,.502,13.1,30.6,.209
166,Maryland-Eastern Shore,29,9,20,.310,-17.33,-6.33,,4,10,,9,4,,0,15,,1890,2046,,68.3,102.0,.365,.355,.528,51.6,49.3,10.5,7.9,.496,16.9,31.5,.248
167,Massachusetts,31,20,11,.645,7.59,0.88,,11,7,,13,3,,4,6,,2401,2193,,69.2,101.8,.386,.384,.528,47.0,55.1,9.0,8.3,.485,16.4,30.1,.279
168,Massachusetts-Lowell,32,22,10,.688,-1.28,-6.07,,11,5,,12,3,,10,7,,2561,2261,,72.6,96.6,.252,.341,.491,44.9,42.7,10.8,8.7,.463,14.1,26.1,.174
169,McNeese State NCAA,34,30,4,.882,6.42,-6.81,,17,1,,18,0,,11,3,,2719,2116,,67.6,92.1,.317,.481,.503,47.8,59.0,6.8,8.1,.466,20.9,30.1,.226
170,Memphis,32,22,10,.688,9.00,4.25,,11,7,,13,2,,7,6,,2576,2424,,72.0,104.4,.296,.427,.531,49.7,53.3,9.9,11.6,.500,16.3,33.6,.212
171,Mercer,33,16,17,.485,-4.65,-2.55,,8,10,,10,6,,4,9,,2348,2371,,67.5,106.4,.394,.362,.547,50.5,45.0,9.4,7.4,.507,15.7,31.0,.285
172,Merrimack,33,21,12,.636,-5.24,-8.43,,13,3,,13,2,,7,9,,2283,2159,,68.6,94.6,.311,.316,.502,54.8,56.4,10.0,10.0,.467,20.0,34.4,.218
173,Miami (FL),32,15,17,.469,9.59,7.46,,6,14,,11,6,,2,9,,2424,2356,,69.9,104.9,.223,.460,.533,49.4,57.4,10.2,9.4,.510,14.4,28.6,.159
174,Miami (OH),32,15,17,.469,-6.45,-4.08,,9,9,,9,6,,6,10,,2259,2241,,68.5,101.8,.315,.365,.521,52.4,47.3,9.4,9.9,.485,15.7,29.6,.229
175,Michigan,32,8,24,.250,5.28,11.34,,3,17,,5,10,,2,10,,2334,2528,,68.9,113.3,.305,.326,.555,49.6,46.4,11.0,10.6,.525,11.9,30.4,.222
176,Michigan State NCAA,35,20,15,.571,17.72,10.89,,10,10,,14,4,,3,7,,2551,2312,,66.4,99.1,.324,.416,.517,49.2,54.8,8.0,7.8,.481,16.2,28.5,.232
177,Middle Tennessee,33,14,19,.424,-7.45,-0.52,,7,9,,11,6,,1,10,,2167,2319,,66.8,103.3,.295,.303,.523,51.0,43.0,9.6,10.5,.489,14.2,30.6,.214
178,Milwaukee,35,20,15,.571,-5.01,-4.47,,12,8,,12,4,,6,9,,2782,2753,,70.9,109.0,.330,.381,.542,48.0,56.1,9.7,11.1,.504,13.7,31.7,.247
179,Minnesota,34,19,15,.559,9.51,6.40,,9,11,,16,4,,3,9,,2550,2444,,67.7,105.7,.296,.305,.536,48.5,57.2,10.5,9.1,.504,14.0,28.8,.215
180,Mississippi,32,20,12,.625,8.30,7.27,,7,11,,14,4,,4,7,,2398,2365,,68.6,107.8,.323,.370,.535,52.5,55.4,9.6,8.0,.502,15.3,36.2,.230
181,Mississippi State NCAA,35,21,14,.600,14.19,9.16,,8,10,,11,4,,2,8,,2593,2417,,68.7,100.2,.318,.412,.521,46.1,48.6,10.6,10.6,.480,16.0,27.8,.239
182,Mississippi Valley State,31,1,30,.032,-26.17,-3.91,,1,17,,1,8,,0,22,,1719,2409,,66.2,116.8,.416,.365,.588,54.9,54.1,13.2,8.7,.556,14.7,35.7,.297
183,Missouri,32,8,24,.250,3.27,7.30,,0,18,,6,11,,2,10,,2309,2438,,68.4,110.9,.424,.398,.558,54.5,52.8,9.4,9.7,.513,15.8,35.7,.314
184,Missouri State,33,17,16,.515,0.98,1.01,,8,12,,9,5,,4,10,,2351,2352,,68.4,102.7,.249,.388,.509,46.7,49.8,9.4,8.8,.480,11.5,24.7,.179
185,Monmouth,33,18,15,.545,-3.17,-2.98,,10,8,,13,1,,2,13,,2390,2396,,68.1,106.7,.333,.432,.539,51.1,56.2,8.2,9.9,.500,15.3,32.3,.248
186,Montana,36,24,12,.667,-1.41,-4.11,,12,6,,13,3,,8,7,,2768,2586,,67.2,106.2,.339,.323,.534,48.9,43.2,8.6,8.2,.498,12.6,26.3,.244
187,Montana State NCAA,35,17,18,.486,-5.34,-4.46,,9,9,,10,7,,4,10,,2635,2606,,69.7,105.3,.359,.341,.557,53.6,46.2,8.4,7.6,.524,16.8,28.4,.256
188,Morehead State NCAA,35,26,9,.743,0.51,-5.52,,14,4,,14,1,,9,7,,2635,2220,,66.2,95.8,.293,.332,.486,43.9,42.0,8.9,8.1,.443,13.8,25.3,.220
189,Morgan State,31,11,20,.355,-16.07,-5.90,,7,7,,8,5,,3,12,,2253,2402,,71.7,107.3,.384,.322,.534,51.3,47.9,11.3,8.4,.500,15.1,35.2,.263
190,Mount St. Mary's,32,13,19,.406,-6.54,-7.45,,9,11,,8,5,,5,13,,2327,2298,,69.3,102.4,.303,.348,.532,48.0,49.6,12.7,7.4,.493,15.7,27.9,.229
191,Murray State,32,12,20,.375,0.36,1.59,,9,11,,8,8,,4,9,,2232,2237,,65.5,106.3,.271,.425,.566,50.4,53.4,7.4,8.8,.541,16.1,25.2,.195
192,Navy,31,13,18,.419,-11.70,-9.54,,8,10,,10,5,,3,13,,2060,2067,,65.4,101.1,.351,.411,.534,50.3,55.5,7.2,12.3,.497,17.8,30.1,.251
193,NC State NCAA,41,26,15,.634,12.81,8.93,,9,11,,12,5,,4,7,,3101,2942,,68.5,103.5,.316,.368,.531,50.6,50.5,7.4,7.9,.495,15.3,29.1,.232
194,Nebraska NCAA,34,23,11,.676,14.36,7.53,,12,8,,18,1,,3,8,,2643,2411,,69.4,101.1,.277,.414,.499,49.8,52.5,8.8,11.1,.467,13.8,30.3,.194
195,Nevada NCAA,34,26,8,.765,12.85,4.58,,13,5,,15,2,,8,3,,2582,2276,,66.9,99.6,.339,.415,.520,48.7,55.9,7.4,6.5,.485,15.6,26.8,.237
196,Nevada-Las Vegas,34,21,13,.618,8.38,6.25,,12,6,,13,6,,8,4,,2501,2341,,66.2,102.5,.290,.387,.526,49.7,58.6,9.2,9.2,.490,15.9,30.8,.219
197,New Hampshire,31,16,15,.516,-6.15,-3.61,,7,9,,9,5,,7,10,,2298,2297,,73.3,100.7,.275,.388,.526,51.0,50.5,10.3,13.1,.495,14.8,24.8,.201
198,New Mexico NCAA,36,26,10,.722,15.04,5.38,,10,8,,13,3,,5,6,,2916,2545,,72.5,97.5,.335,.363,.517,47.2,54.2,8.1,9.5,.477,17.0,26.8,.245
199,New Mexico State,32,13,19,.406,-8.62,0.74,,7,9,,12,3,,1,13,,2166,2318,,68.6,104.3,.419,.423,.533,51.1,56.2,10.3,7.1,.493,14.7,28.2,.294
200,New Orleans,33,10,23,.303,-16.80,-5.90,,4,14,,7,6,,2,15,,2427,2622,,73.2,108.2,.370,.316,.558,53.6,53.6,8.7,9.2,.523,17.1,34.6,.267
201,Niagara,32,16,16,.500,-8.40,-7.21,,11,9,,5,9,,10,6,,2319,2307,,67.9,105.0,.309,.277,.548,50.8,41.4,9.6,8.8,.519,14.7,26.3,.220
202,Nicholls State,34,20,14,.588,-7.14,-5.37,,13,5,,10,2,,8,10,,2512,2514,,67.8,105.6,.385,.359,.525,51.1,49.5,10.9,11.1,.491,14.0,31.6,.260
203,NJIT,28,7,21,.250,-14.65,-4.46,,3,13,,5,8,,2,13,,1902,2101,,68.6,109.4,.392,.355,.554,52.1,54.0,8.8,9.7,.522,14.9,32.0,.271
204,Norfolk State,35,24,11,.686,-5.76,-7.76,,11,3,,15,0,,6,8,,2608,2364,,68.3,98.5,.412,.451,.530,49.0,61.2,8.5,7.9,.485,19.4,30.7,.297
205,North Alabama,32,15,17,.469,-7.17,-5.00,,8,8,,10,4,,5,13,,2447,2435,,68.9,108.7,.401,.347,.547,50.1,47.5,7.4,8.9,.506,12.7,27.6,.290
206,North Carolina NCAA,37,29,8,.784,21.36,9.90,,17,3,,14,1,,8,2,,3032,2608,,71.3,98.6,.282,.358,.504,45.1,40.0,7.7,9.5,.467,13.2,23.7,.209
207,North Carolina A&T,32,7,25,.219,-16.31,-3.94,,5,13,,4,7,,2,14,,2098,2494,,68.0,114.6,.295,.372,.566,56.1,53.0,7.8,9.4,.545,13.6,34.0,.201
208,North Carolina Central,31,18,13,.581,-7.88,-8.84,,9,5,,11,2,,6,9,,2375,2139,,69.2,99.0,.360,.363,.515,50.0,51.0,8.3,9.4,.472,17.2,32.5,.262
209,North Dakota,32,18,14,.563,-6.24,-6.10,,10,6,,9,5,,7,8,,2408,2300,,67.9,105.4,.280,.340,.542,47.9,39.9,8.6,5.4,.511,13.9,25.6,.207
210,North Dakota State,32,15,17,.469,-7.57,-3.15,,8,8,,10,4,,5,11,,2388,2366,,66.6,108.1,.271,.339,.549,48.3,42.0,7.8,9.9,.521,12.3,23.7,.197
211,North Florida,32,16,16,.500,-6.95,-4.84,,9,7,,11,5,,5,11,,2496,2427,,69.4,108.0,.318,.301,.547,51.5,44.3,9.8,10.7,.513,13.1,28.3,.233
212,North Texas,34,19,15,.559,8.41,4.28,,10,8,,11,4,,6,6,,2353,2169,,63.2,100.2,.374,.359,.516,48.5,45.8,10.5,11.7,.474,16.6,31.1,.267
213,Northeastern,32,12,20,.375,-6.09,-3.15,,7,11,,7,5,,4,13,,2221,2315,,65.8,109.9,.283,.388,.569,48.0,51.0,9.9,8.4,.538,14.9,27.7,.215
214,Northern Arizona,33,14,19,.424,-12.17,-4.17,,7,11,,7,5,,6,12,,2265,2529,,69.0,110.2,.374,.340,.563,53.9,47.0,10.6,7.8,.529,14.6,31.1,.268
215,Northern Colorado,33,19,14,.576,-4.44,-5.25,,12,6,,11,3,,7,8,,2617,2542,,69.9,106.9,.286,.400,.552,49.5,46.7,9.4,7.8,.520,14.0,25.0,.214
216,Northern Illinois,31,11,20,.355,-9.16,-1.37,,5,13,,5,9,,5,11,,2269,2399,,69.7,109.6,.345,.359,.543,50.7,53.6,9.6,7.0,.514,13.3,31.2,.235
217,Northern Iowa,33,19,14,.576,3.83,2.86,,12,8,,11,3,,6,8,,2417,2346,,67.7,104.2,.300,.415,.553,49.4,45.4,8.8,8.4,.517,15.0,22.4,.231
218,Northern Kentucky,33,18,15,.545,-3.66,-3.73,,12,8,,12,3,,6,11,,2470,2416,,69.7,103.5,.288,.414,.540,51.0,55.4,9.1,9.0,.509,17.7,32.0,.209
219,Northwestern NCAA,34,22,12,.647,12.77,8.50,,12,8,,15,2,,4,7,,2493,2348,,64.8,104.7,.393,.374,.553,51.6,59.2,7.4,10.7,.515,16.6,27.8,.283
220,Northwestern State,32,9,23,.281,-14.42,-6.32,,7,11,,6,7,,3,13,,2257,2429,,69.3,107.8,.406,.372,.547,52.3,50.4,10.2,11.3,.512,16.2,34.5,.283
221,Notre Dame,33,13,20,.394,4.94,8.06,,7,13,,9,8,,2,10,,2113,2216,,64.8,102.4,.274,.368,.513,48.8,50.4,9.8,11.6,.482,13.2,26.7,.197
222,Oakland NCAA,36,24,12,.667,2.02,-1.24,,15,5,,10,3,,9,7,,2751,2634,,68.0,105.8,.269,.409,.537,49.1,62.6,8.6,8.5,.506,14.1,29.0,.198
223,Ohio,33,20,13,.606,0.48,-4.58,,13,5,,12,3,,5,7,,2551,2309,,68.3,101.3,.341,.376,.522,51.0,44.9,7.2,10.1,.487,17.0,31.4,.238
224,Ohio State,36,22,14,.611,13.64,8.37,,9,11,,15,5,,2,8,,2718,2528,,67.4,103.1,.299,.336,.519,48.1,47.0,7.5,7.1,.486,13.7,28.5,.212
225,Oklahoma,32,20,12,.625,14.66,8.07,,8,10,,14,4,,3,6,,2412,2201,,68.4,99.8,.312,.357,.517,47.3,48.0,10.5,10.3,.475,14.6,26.2,.237
226,Oklahoma State,32,12,20,.375,6.25,7.97,,4,14,,10,8,,1,9,,2272,2327,,68.0,105.7,.276,.329,.544,50.2,45.8,11.7,9.7,.513,14.7,28.5,.204
227,Old Dominion,32,7,25,.219,-8.35,-1.58,,3,15,,5,10,,1,12,,2268,2464,,71.2,107.3,.393,.419,.548,53.3,57.1,8.4,10.2,.510,15.6,30.8,.282
228,Omaha,33,15,18,.455,-7.38,-5.07,,7,9,,11,3,,2,13,,2441,2404,,68.0,106.4,.317,.431,.558,50.1,48.7,7.8,6.2,.525,14.8,24.6,.235
229,Oral Roberts,31,12,19,.387,-7.43,-2.60,,5,11,,9,5,,2,13,,2275,2334,,68.6,108.9,.301,.384,.543,53.8,48.6,7.1,7.5,.510,13.4,30.4,.220
230,Oregon NCAA,36,24,12,.667,12.22,8.91,,12,8,,13,3,,6,5,,2721,2602,,68.3,104.8,.323,.368,.548,49.7,50.8,7.7,9.3,.515,15.7,27.3,.234
231,Oregon State,32,13,19,.406,3.28,8.38,,5,15,,12,6,,1,9,,2204,2326,,66.2,107.3,.355,.382,.543,51.2,55.5,9.4,8.4,.508,14.8,30.8,.253
232,Pacific,32,6,26,.188,-17.42,-0.15,,0,16,,5,12,,1,13,,2071,2553,,69.3,114.3,.356,.396,.585,58.1,51.3,8.9,9.4,.554,14.5,32.7,.260
233,Penn State,33,16,17,.485,9.22,7.52,,9,11,,13,4,,2,8,,2478,2422,,70.2,103.7,.363,.328,.547,53.4,56.7,8.3,8.8,.502,17.9,32.2,.279
234,Pennsylvania,29,11,18,.379,-3.33,0.26,,3,11,,9,6,,2,10,,2159,2157,,66.5,110.0,.266,.435,.556,48.3,56.1,8.7,9.2,.532,13.0,26.6,.189
235,Pepperdine,33,13,20,.394,-2.14,0.70,,5,11,,9,8,,3,8,,2403,2443,,68.4,108.2,.334,.312,.570,49.2,49.7,8.9,5.9,.540,15.1,25.3,.241
236,Pittsburgh,33,22,11,.667,14.89,6.92,,12,8,,13,5,,7,4,,2495,2232,,67.0,101.0,.305,.386,.529,47.4,51.5,7.5,10.3,.490,14.8,23.8,.232
237,Portland,33,12,21,.364,-8.20,1.54,,5,11,,9,6,,2,11,,2360,2622,,69.0,114.7,.221,.447,.568,51.8,57.5,9.0,8.3,.549,11.5,27.9,.157
238,Portland State,32,17,15,.531,-7.15,-4.94,,8,10,,11,2,,5,11,,2302,2299,,69.4,102.7,.328,.381,.540,50.0,54.8,8.2,9.8,.511,16.5,28.0,.226
239,Prairie View,31,10,21,.323,-15.41,-6.92,,5,13,,5,6,,4,15,,2176,2368,,72.8,104.9,.464,.328,.568,54.8,49.5,9.4,9.5,.530,19.8,33.8,.326
240,Presbyterian,33,14,19,.424,-8.13,-5.57,,6,10,,8,7,,5,9,,2469,2413,,68.9,105.3,.416,.351,.559,50.4,46.2,8.5,9.1,.519,16.5,27.5,.301
