Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
121,Illinois-Chicago,33,12,21,.364,-1.61,1.30,,4,16,,6,9,,3,10,,2319,2361,,68.7,100.4,.259,.410,.536,47.7,54.4,8.8,14.1,.512,15.9,23.4,.179
122,Incarnate Word,31,8,23,.258,-16.40,-7.92,,3,15,,5,8,,3,14,,2240,2436,,71.9,99.6,.359,.397,.533,50.7,49.1,8.3,10.4,.494,19.1,30.3,.261
123,Indiana,33,19,14,.576,7.74,9.74,,10,10,,13,5,,4,6,,2386,2452,,69.4,104.2,.377,.278,.548,50.0,57.3,7.5,11.2,.521,15.5,27.0,.250
124,Indiana State,39,32,7,.821,13.44,2.26,,17,3,,16,1,,9,4,,3309,2854,,71.4,118.4,.334,.496,.632,52.6,61.2,8.5,4.5,.600,14.7,23.5,.266
125,Iona,33,16,17,.485,-5.19,-5.95,,10,10,,9,5,,5,8,,2354,2329,,68.0,104.9,.285,.387,.522,46.9,55.2,13.0,9.2,.500,13.0,28.3,.186
126,Iowa,34,19,15,.559,13.00,9.26,,10,10,,13,4,,4,9,,2827,2700,,72.6,114.0,.331,.299,.567,48.9,59.1,9.4,9.9,.528,11.6,27.4,.256
127,Iowa State NCAA,37,29,8,.784,22.30,8.51,,13,5,,18,0,,5,5,,2787,2277,,67.9,110.9,.354,.317,.551,50.5,58.1,15.2,10.8,.520,13.3,31.1,.248
128,IU Indy,32,6,26,.188,-21.31,-4.62,,2,18,,4,10,,2,14,,2108,2554,,68.8,95.3,.344,.251,.512,47.0,42.8,11.0,5.9,.469,18.5,30.3,.253
129,Jackson State,32,15,17,.469,-11.50,-7.15,,11,7,,6,2,,7,13,,2279,2418,,70.0,101.4,.347,.338,.509,50.7,48.1,10.6,9.9,.470,16.0,34.9,.244
130,Jacksonville,33,16,17,.485,-9.84,-4.87,,5,11,,11,3,,4,14,,2371,2389,,68.6,104.4,.359,.339,.528,53.3,42.5,11.2,9.0,.491,16.1,36.3,.253
131,Jacksonville State,32,14,18,.438,-3.55,-3.14,,6,10,,8,7,,5,10,,2240,2126,,67.1,104.0,.372,.285,.535,54.5,44.1,10.0,11.3,.499,17.1,33.9,.261
132,James Madison NCAA,36,32,4,.889,8.19,-3.75,,15,3,,14,1,,12,2,,2995,2506,,71.6,115.0,.342,.378,.572,53.2,53.8,12.5,8.3,.544,13.0,32.5,.240
133,Kansas NCAA,34,23,11,.676,16.35,11.32,,10,8,,15,1,,3,7,,2569,2376,,69.9,107.7,.320,.298,.567,51.7,67.4,10.2,11.0,.538,14.9,25.7,.231
134,Kansas City,32,16,16,.500,-5.32,-4.50,,10,6,,10,3,,6,9,,2300,2217,,67.3,105.2,.298,.426,.529,52.9,50.6,8.7,11.2,.498,15.1,32.6,.213
135,Kansas State,34,19,15,.559,11.06,9.97,,8,10,,15,3,,2,9,,2454,2417,,68.4,102.8,.383,.412,.541,51.9,56.8,8.5,10.6,.502,18.2,32.4,.276
136,Kennesaw State,31,15,16,.484,-8.02,-5.84,,6,10,,9,5,,4,11,,2568,2504,,75.4,109.0,.335,.436,.544,50.1,50.7,9.7,10.7,.518,13.7,30.7,.226
137,Kent State,34,17,17,.500,-0.76,-2.54,,8,10,,9,6,,4,9,,2544,2424,,67.7,108.5,.320,.391,.548,51.0,49.0,10.0,7.8,.511,14.8,31.8,.239
138,Kentucky NCAA,33,23,10,.697,16.79,7.46,,13,5,,14,4,,7,3,,2938,2630,,73.9,119.2,.304,.375,.602,50.5,54.9,10.1,16.2,.572,12.6,28.9,.235
139,La Salle,33,16,17,.485,-1.62,0.85,,6,12,,11,6,,3,10,,2398,2411,,67.3,106.4,.246,.397,.526,48.0,55.2,9.3,8.4,.499,12.2,27.5,.178
140,Lafayette,32,11,21,.344,-11.17,-6.01,,10,8,,5,10,,6,9,,2010,2154,,65.3,94.7,.240,.399,.495,47.3,56.6,9.9,12.5,.470,15.5,24.5,.162
141,Lamar,33,19,14,.576,-5.47,-8.28,,12,6,,11,3,,5,11,,2568,2406,,70.5,108.7,.335,.354,.547,52.0,59.6,9.9,10.7,.512,15.4,34.4,.245
142,Le Moyne,32,15,17,.469,-11.07,-9.55,,9,7,,10,3,,5,14,,2318,2245,,69.2,104.3,.246,.477,.544,47.2,61.1,11.5,9.5,.514,14.7,23.7,.187
143,Lehigh,32,14,18,.438,-7.47,-6.60,,9,9,,6,7,,8,11,,2326,2272,,69.9,101.6,.316,.378,.536,49.7,50.9,10.1,6.2,.500,15.1,22.8,.232
144,Liberty,32,18,14,.563,1.58,-1.56,,7,9,,12,3,,2,8,,2362,2096,,66.0,111.0,.255,.476,.570,51.1,58.9,7.8,6.2,.555,13.9,26.1,.169
145,Lindenwood,31,9,22,.290,-18.73,-7.23,,3,15,,4,10,,3,12,,2019,2266,,68.1,95.3,.378,.305,.496,46.8,35.8,9.0,7.4,.446,15.5,24.5,.277
146,Lipscomb,32,20,12,.625,-1.94,-5.04,,11,5,,12,2,,6,9,,2626,2448,,71.2,115.3,.274,.401,.597,48.8,48.4,8.6,8.7,.570,12.7,23.6,.210
147,Little Rock,34,21,13,.618,-3.42,-8.24,,14,4,,14,4,,6,6,,2628,2464,,69.9,109.8,.328,.311,.562,51.6,52.5,8.5,12.9,.526,15.1,31.9,.246
148,Long Beach State NCAA,36,21,15,.583,-1.19,-1.19,,10,10,,8,5,,9,7,,2786,2735,,72.9,105.4,.382,.285,.527,52.0,55.4,10.8,12.2,.487,14.7,33.3,.271
149,Long Island University,29,7,22,.241,-17.86,-7.58,,6,10,,5,5,,1,17,,1929,2227,,71.3,92.5,.315,.299,.496,48.0,51.4,9.0,7.8,.464,17.8,25.4,.213
150,Longwood NCAA,35,21,14,.600,-2.04,-4.76,,6,10,,13,3,,6,10,,2615,2396,,67.9,108.5,.392,.287,.537,56.3,47.9,10.1,7.7,.502,15.4,38.3,.269
151,Louisiana,33,19,14,.576,-0.60,-2.67,,10,8,,11,3,,5,9,,2504,2365,,70.4,107.8,.281,.367,.545,49.2,44.5,12.2,9.8,.516,14.5,31.5,.205
152,Louisiana State,33,17,16,.515,8.14,6.75,,9,9,,12,6,,3,7,,2520,2474,,70.7,107.5,.383,.376,.559,50.4,44.7,11.3,10.8,.522,16.1,30.7,.277
153,Louisiana Tech,32,22,10,.688,4.83,-1.69,,12,4,,14,2,,8,7,,2392,2065,,67.5,109.9,.410,.351,.556,54.2,49.1,11.0,13.8,.520,15.6,34.5,.287
154,Louisiana-Monroe,30,11,19,.367,-10.05,-2.44,,6,12,,8,6,,3,12,,2096,2233,,69.1,100.7,.372,.287,.498,52.0,50.7,10.5,7.0,.463,15.1,34.8,.247
155,Louisville,32,8,24,.250,0.45,7.51,,3,17,,7,11,,1,10,,2304,2530,,70.4,101.8,.388,.312,.531,49.8,44.6,7.7,7.2,.484,15.9,28.1,.290
156,Loyola (IL),33,23,10,.697,6.57,2.42,,15,3,,15,2,,7,5,,2412,2228,,69.3,104.7,.331,.408,.548,52.3,64.0,10.1,13.9,.522,16.1,28.1,.225
157,Loyola (MD),32,7,25,.219,-16.17,-6.94,,5,13,,2,11,,5,13,,2049,2301,,65.7,96.4,.303,.388,.507,51.1,55.6,8.9,6.1,.482,17.7,29.5,.195
158,Loyola Marymount,31,12,19,.387,-0.06,0.31,,5,11,,8,8,,3,7,,2244,2214,,66.4,109.0,.290,.396,.551,51.7,46.0,5.5,6.5,.521,14.0,29.7,.212
159,Maine,32,15,17,.469,-6.39,-4.87,,7,9,,8,4,,5,13,,2164,2159,,68.1,98.6,.295,.321,.518,48.0,49.6,12.3,8.7,.485,14.9,23.4,.212
160,Manhattan,30,7,23,.233,-15.28,-4.86,,4,16,,3,10,,4,12,,1985,2275,,69.2,94.4,.221,.388,.501,46.5,58.4,10.7,7.3,.474,16.9,25.0,.160
161,Marist,31,18,13,.581,-5.64,-8.09,,12,8,,9,4,,8,8,,2004,1928,,65.5,98.6,.298,.364,.536,49.2,52.5,10.4,8.6,.508,16.8,23.0,.208
162,Marquette NCAA,37,27,10,.730,19.27,11.02,,14,6,,14,2,,7,5,,2888,2583,,69.4,112.0,.255,.411,.571,47.8,54.5,12.3,10.6,.550,12.7,25.7,.180
163,Marshall,33,13,20,.394,-5.42,-1.39,,7,11,,8,7,,3,9,,2435,2531,,72.5,101.7,.291,.411,.505,50.3,56.9,9.6,10.7,.472,14.0,30.1,.206
164,Maryland,33,16,17,.485,10.60,7.44,,7,13,,11,6,,4,8,,2278,2174,,66.3,103.0,.408,.375,.515,50.7,47.0,9.8,11.7,.467,14.9,31.7,.294
165,Maryland-Baltimore County,32,11,21,.344,-8.67,-5.93,,6,10,,6,9,,5,12,,2517,2583,,74.7,104.8,.246,.348,.550,48.3,43.7,6.8,9.3,.528,15.4,25.8,.172
166,Maryland-Eastern Shore,29,9,20,.310,-17.33,-6.33,,4,10,,9,4,,0,15,,1890,2046,,68.3,94.2,.325,.343,.492,48.4,46.7,10.1,7.6,.452,17.2,29.4,.232
167,Massachusetts,31,20,11,.645,7.59,0.88,,11,7,,13,3,,4,6,,2401,2193,,69.2,111.5,.358,.351,.539,53.0,56.3,11.0,8.6,.506,13.4,36.6,.250
168,Massachusetts-Lowell,32,22,10,.688,-1.28,-6.07,,11,5,,12,3,,10,7,,2561,2261,,72.6,109.4,.388,.294,.562,55.1,44.5,9.5,11.6,.523,15.7,33.4,.285
169,McNeese State NCAA,34,30,4,.882,6.42,-6.81,,17,1,,18,0,,11,3,,2719,2116,,67.6,118.3,.373,.336,.578,52.2,52.0,15.2,12.1,.552,12.3,33.5,.258
170,Memphis,32,22,10,.688,9.00,4.25,,11,7,,13,2,,7,6,,2576,2424,,72.0,110.9,.363,.389,.563,50.3,48.8,11.8,12.6,.528,15.5,33.4,.263
171,Mercer,33,16,17,.485,-4.65,-2.55,,8,10,,10,6,,4,9,,2348,2371,,67.5,105.4,.288,.310,.527,49.5,49.3,10.3,9.7,.502,14.1,31.2,.193
172,Merrimack,33,21,12,.636,-5.24,-8.43,,13,3,,13,2,,7,9,,2283,2159,,68.6,100.0,.342,.429,.541,45.2,51.4,14.2,9.4,.505,17.1,23.5,.249
173,Miami (FL),32,15,17,.469,9.59,7.46,,6,14,,11,6,,2,9,,2424,2356,,69.9,107.9,.246,.404,.554,50.6,51.1,10.2,9.3,.527,15.0,28.7,.184
174,Miami (OH),32,15,17,.469,-6.45,-4.08,,9,9,,9,6,,6,10,,2259,2241,,68.5,102.6,.317,.398,.545,47.6,57.9,9.2,8.3,.515,15.3,23.7,.224
175,Michigan,32,8,24,.250,5.28,11.34,,3,17,,5,10,,2,10,,2334,2528,,68.9,104.6,.320,.380,.542,50.4,48.3,6.0,8.5,.512,16.1,30.6,.225
176,Michigan State NCAA,35,20,15,.571,17.72,10.89,,10,10,,14,4,,3,7,,2551,2312,,66.4,109.4,.293,.304,.544,50.8,58.8,10.6,11.7,.516,13.0,29.8,.207
177,Middle Tennessee,33,14,19,.424,-7.45,-0.52,,7,9,,11,6,,1,10,,2167,2319,,66.8,96.5,.342,.420,.506,49.0,44.4,7.8,10.2,.467,17.7,29.1,.241
178,Milwaukee,35,20,15,.571,-5.01,-4.47,,12,8,,12,4,,6,9,,2782,2753,,70.9,110.2,.341,.392,.545,52.0,50.8,8.2,11.4,.509,14.7,35.9,.248
179,Minnesota,34,19,15,.559,9.51,6.40,,9,11,,16,4,,3,9,,2550,2444,,67.7,110.3,.347,.391,.567,51.5,64.6,9.3,10.8,.541,15.4,30.7,.239
180,Mississippi,32,20,12,.625,8.30,7.27,,7,11,,14,4,,4,7,,2398,2365,,68.6,109.3,.351,.352,.548,47.5,57.7,11.4,15.2,.511,13.6,30.3,.255
181,Mississippi State NCAA,35,21,14,.600,14.19,9.16,,8,10,,11,4,,2,8,,2593,2417,,68.7,107.5,.374,.385,.543,53.9,53.5,11.8,9.0,.514,16.0,35.4,.251
182,Mississippi Valley State,31,1,30,.032,-26.17,-3.91,,1,17,,1,8,,0,22,,1719,2409,,66.2,83.4,.330,.304,.461,45.1,44.2,9.9,6.5,.425,21.0,27.9,.217
183,Missouri,32,8,24,.250,3.27,7.30,,0,18,,6,11,,2,10,,2309,2438,,68.4,105.0,.317,.397,.546,45.5,48.3,11.1,14.1,.502,14.9,26.8,.251
184,Missouri State,33,17,16,.515,0.98,1.01,,8,12,,9,5,,4,10,,2351,2352,,68.4,102.6,.315,.368,.530,53.3,47.1,6.2,11.8,.497,15.2,29.1,.224
185,Monmouth,33,18,15,.545,-3.17,-2.98,,10,8,,13,1,,2,13,,2390,2396,,68.1,106.4,.293,.363,.525,48.9,50.2,10.5,10.5,.493,13.2,30.6,.209
186,Montana,36,24,12,.667,-1.41,-4.11,,12,6,,13,3,,8,7,,2768,2586,,67.2,113.6,.290,.373,.586,51.1,53.3,7.1,7.6,.552,13.6,26.2,.230
187,Montana State NCAA,35,17,18,.486,-5.34,-4.46,,9,9,,10,7,,4,10,,2635,2606,,69.7,106.4,.296,.429,.574,46.4,49.2,11.7,6.4,.547,15.1,20.8,.216
188,Morehead State NCAA,35,26,9,.743,0.51,-5.52,,14,4,,14,1,,9,7,,2635,2220,,66.2,113.7,.293,.451,.572,56.1,55.7,8.9,11.9,.548,15.2,35.3,.207
189,Morgan State,31,11,20,.355,-16.07,-5.90,,7,7,,8,5,,3,12,,2253,2402,,71.7,100.6,.301,.271,.529,48.7,46.2,8.6,8.6,.491,17.5,31.2,.228
190,Mount St. Mary's,32,13,19,.406,-6.54,-7.45,,9,11,,8,5,,5,13,,2327,2298,,69.3,103.7,.267,.332,.558,52.0,48.3,9.8,10.1,.532,18.2,30.2,.193
191,Murray State,32,12,20,.375,0.36,1.59,,9,11,,8,8,,4,9,,2232,2237,,65.5,106.1,.297,.354,.531,49.6,44.9,9.1,8.7,.503,12.6,27.0,.207
192,Navy,31,13,18,.419,-11.70,-9.54,,8,10,,10,5,,3,13,,2060,2067,,65.4,100.8,.349,.333,.488,49.7,52.5,10.1,6.4,.446,13.1,32.4,.247
193,NC State NCAA,41,26,15,.634,12.81,8.93,,9,11,,12,5,,4,7,,3101,2942,,68.5,109.1,.320,.333,.542,49.4,48.0,10.5,9.7,.507,12.1,28.1,.234
194,Nebraska NCAA,34,23,11,.676,14.36,7.53,,12,8,,18,1,,3,8,,2643,2411,,69.4,110.8,.326,.443,.567,50.2,57.1,9.0,7.1,.531,13.9,27.6,.248
195,Nevada NCAA,34,26,8,.765,12.85,4.58,,13,5,,15,2,,8,3,,2582,2276,,66.9,113.0,.443,.336,.573,51.3,58.0,9.4,11.0,.535,13.2,27.6,.319
196,Nevada-Las Vegas,34,21,13,.618,8.38,6.25,,12,6,,13,6,,8,4,,2501,2341,,66.2,109.5,.323,.350,.553,50.3,49.7,9.1,12.9,.521,14.3,30.8,.234
197,New Hampshire,31,16,15,.516,-6.15,-3.61,,7,9,,9,5,,7,10,,2298,2297,,73.3,100.7,.292,.438,.522,49.0,45.6,9.9,5.4,.485,14.5,23.7,.218
198,New Mexico NCAA,36,26,10,.722,15.04,5.38,,10,8,,13,3,,5,6,,2916,2545,,72.5,111.7,.331,.303,.538,52.8,49.1,12.0,13.2,.505,11.7,33.4,.234
199,New Mexico State,32,13,19,.406,-8.62,0.74,,7,9,,12,3,,1,13,,2166,2318,,68.6,97.5,.339,.344,.512,48.9,46.6,8.8,9.4,.480,15.3,26.0,.229
200,New Orleans,33,10,23,.303,-16.80,-5.90,,4,14,,7,6,,2,15,,2427,2622,,73.2,100.1,.382,.291,.508,46.4,46.2,10.5,8.6,.462,14.6,29.3,.275
201,Niagara,32,16,16,.500,-8.40,-7.21,,11,9,,5,9,,10,6,,2319,2307,,67.9,105.5,.362,.314,.566,49.2,49.8,8.2,5.3,.527,15.6,24.0,.272
202,Nicholls State,34,20,14,.588,-7.14,-5.37,,13,5,,10,2,,8,10,,2512,2514,,67.8,105.5,.383,.408,.557,48.9,45.6,9.6,10.8,.519,16.6,27.7,.278
203,NJIT,28,7,21,.250,-14.65,-4.46,,3,13,,5,8,,2,13,,1902,2101,,68.6,99.0,.315,.396,.492,47.9,44.3,10.5,8.9,.454,13.9,29.9,.223
204,Norfolk State,35,24,11,.686,-5.76,-7.76,,11,3,,15,0,,6,8,,2608,2364,,68.3,108.7,.398,.332,.554,51.0,48.0,12.8,10.5,.515,15.3,32.6,.288
205,North Alabama,32,15,17,.469,-7.17,-5.00,,8,8,,10,4,,5,13,,2447,2435,,68.9,109.2,.328,.352,.548,49.9,41.9,7.6,8.3,.508,12.7,27.8,.252
206,North Carolina NCAA,37,29,8,.784,21.36,9.90,,17,3,,14,1,,8,2,,3032,2608,,71.3,114.6,.362,.361,.557,54.9,51.2,8.1,10.3,.515,12.0,33.0,.275
207,North Carolina A&T,32,7,25,.219,-16.31,-3.94,,5,13,,4,7,,2,14,,2098,2494,,68.0,96.4,.340,.357,.482,43.9,44.9,8.3,8.6,.439,12.1,24.3,.242
208,North Carolina Central,31,18,13,.581,-7.88,-8.84,,9,5,,11,2,,6,9,,2375,2139,,69.2,109.9,.394,.376,.552,50.0,48.4,11.0,7.4,.518,14.7,32.2,.274
209,North Dakota,32,18,14,.563,-6.24,-6.10,,10,6,,9,5,,7,8,,2408,2300,,67.9,110.4,.310,.418,.543,52.1,43.2,9.3,7.8,.512,12.7,31.4,.221
210,North Dakota State,32,15,17,.469,-7.57,-3.15,,8,8,,10,4,,5,11,,2388,2366,,66.6,109.1,.296,.364,.571,51.7,42.4,6.4,3.4,.545,14.5,26.0,.213
211,North Florida,32,16,16,.500,-6.95,-4.84,,9,7,,11,5,,5,11,,2496,2427,,69.4,111.1,.283,.555,.574,48.5,46.9,8.0,8.6,.543,14.3,25.5,.216
212,North Texas,34,19,15,.559,8.41,4.28,,10,8,,11,4,,6,6,,2353,2169,,63.2,108.7,.297,.395,.541,51.5,45.8,11.1,8.8,.508,14.8,34.1,.219
213,Northeastern,32,12,20,.375,-6.09,-3.15,,7,11,,7,5,,4,13,,2221,2315,,65.8,105.5,.298,.361,.546,52.0,53.7,9.5,9.8,.512,16.4,31.8,.223
214,Northern Arizona,33,14,19,.424,-12.17,-4.17,,7,11,,7,5,,6,12,,2265,2529,,69.0,98.7,.311,.352,.524,46.1,53.8,8.1,8.1,.493,16.1,24.1,.217
215,Northern Colorado,33,19,14,.576,-4.44,-5.25,,12,6,,11,3,,7,8,,2617,2542,,69.9,110.1,.292,.366,.575,50.5,49.7,8.7,6.5,.549,13.9,24.4,.213
216,Northern Illinois,31,11,20,.355,-9.16,-1.37,,5,13,,5,9,,5,11,,2269,2399,,69.7,103.7,.365,.386,.537,49.3,39.6,7.5,12.6,.507,15.7,29.0,.245
217,Northern Iowa,33,19,14,.576,3.83,2.86,,12,8,,11,3,,6,8,,2417,2346,,67.7,107.3,.377,.373,.554,50.6,49.1,9.1,7.8,.520,13.5,23.9,.267
218,Northern Kentucky,33,18,15,.545,-3.66,-3.73,,12,8,,12,3,,6,11,,2470,2416,,69.7,105.8,.357,.339,.546,49.0,51.7,12.2,7.5,.510,15.2,29.9,.257
219,Northwestern NCAA,34,22,12,.647,12.77,8.50,,12,8,,15,2,,4,7,,2493,2348,,64.8,111.2,.292,.364,.558,48.4,59.4,10.7,9.5,.526,11.8,25.7,.220
220,Northwestern State,32,9,23,.281,-14.42,-6.32,,7,11,,6,7,,3,13,,2257,2429,,69.3,100.2,.354,.343,.516,47.7,45.5,9.9,9.0,.486,16.3,30.7,.233
221,Notre Dame,33,13,20,.394,4.94,8.06,,7,13,,9,8,,2,10,,2113,2216,,64.8,97.6,.279,.433,.512,51.2,45.1,8.7,6.6,.476,16.7,28.4,.207
222,Oakland NCAA,36,24,12,.667,2.02,-1.24,,15,5,,10,3,,9,7,,2751,2634,,68.0,110.5,.308,.413,.554,50.9,54.0,9.5,7.8,.519,13.8,30.4,.231
223,Ohio,33,20,13,.606,0.48,-4.58,,13,5,,12,3,,5,7,,2551,2309,,68.3,111.9,.314,.416,.559,49.0,51.5,10.3,9.9,.527,12.3,28.8,.229
224,Ohio State,36,22,14,.611,13.64,8.37,,9,11,,15,5,,2,8,,2718,2528,,67.4,110.9,.337,.346,.551,51.9,53.0,8.2,11.7,.510,13.4,31.4,.259
225,Oklahoma,32,20,12,.625,14.66,8.07,,8,10,,14,4,,3,6,,2412,2201,,68.4,109.4,.377,.385,.569,52.7,51.1,8.6,8.7,.531,15.8,30.1,.280
226,Oklahoma State,32,12,20,.375,6.25,7.97,,4,14,,10,8,,1,9,,2272,2327,,68.0,103.2,.340,.432,.544,49.8,54.0,9.1,7.3,.513,16.5,27.5,.237
227,Old Dominion,32,7,25,.219,-8.35,-1.58,,3,15,,5,10,,1,12,,2268,2464,,71.2,98.8,.275,.347,.501,46.7,39.2,10.9,11.2,.476,13.4,25.5,.182
228,Omaha,33,15,18,.455,-7.38,-5.07,,7,9,,11,3,,2,13,,2441,2404,,68.0,108.0,.392,.337,.549,49.9,39.8,8.8,6.9,.506,12.8,25.0,.291
229,Oral Roberts,31,12,19,.387,-7.43,-2.60,,5,11,,9,5,,2,13,,2275,2334,,68.6,106.2,.267,.428,.547,46.2,42.0,8.2,9.1,.517,12.6,21.8,.198
230,Oregon NCAA,36,24,12,.667,12.22,8.91,,12,8,,13,3,,6,5,,2721,2602,,68.3,109.6,.320,.363,.551,50.3,50.6,10.4,10.1,.519,12.9,28.6,.230
231,Oregon State,32,13,19,.406,3.28,8.38,,5,15,,12,6,,1,9,,2204,2326,,66.2,101.7,.361,.342,.539,48.8,46.0,8.9,10.5,.499,16.2,26.8,.266
232,Pacific,32,6,26,.188,-17.42,-0.15,,0,16,,5,12,,1,13,,2071,2553,,69.3,92.7,.369,.365,.500,41.9,58.2,8.7,5.7,.469,15.4,19.0,.237
233,Penn State,33,16,17,.485,9.22,7.52,,9,11,,13,4,,2,8,,2478,2422,,70.2,106.1,.353,.392,.544,46.6,48.8,11.8,8.8,.503,13.8,26.8,.264
234,Pennsylvania,29,11,18,.379,-3.33,0.26,,3,11,,9,6,,2,10,,2159,2157,,66.5,110.1,.272,.436,.555,51.7,54.8,8.8,6.9,.534,14.3,30.0,.187
235,Pepperdine,33,13,20,.394,-2.14,0.70,,5,11,,9,8,,3,8,,2403,2443,,68.4,106.4,.326,.324,.541,50.8,50.5,7.5,7.1,.510,14.3,29.1,.230
236,Pittsburgh,33,22,11,.667,14.89,6.92,,12,8,,13,5,,7,4,,2495,2232,,67.0,112.9,.305,.444,.545,52.6,51.8,9.4,13.0,.516,11.5,31.0,.216
237,Portland,33,12,21,.364,-8.20,1.54,,5,11,,9,6,,2,11,,2360,2622,,69.0,103.3,.307,.445,.545,48.2,54.0,6.0,6.2,.514,15.4,24.1,.220
238,Portland State,32,17,15,.531,-7.15,-4.94,,8,10,,11,2,,5,11,,2302,2299,,69.4,102.8,.335,.375,.510,50.0,46.8,10.1,9.4,.476,13.8,30.2,.229
239,Prairie View,31,10,21,.323,-15.41,-6.92,,5,13,,5,6,,4,15,,2176,2368,,72.8,96.4,.369,.267,.506,45.2,48.4,12.5,7.6,.461,15.5,26.9,.266
240,Presbyterian,33,14,19,.424,-8.13,-5.57,,6,10,,8,7,,5,9,,2469,2413,,68.9,107.7,.369,.331,.553,49.6,47.5,10.1,9.1,.527,14.4,27.6,.245
